snapshot_date,snapshot_time,snapshot_time_zone,spotify_snapshot_id,playlist_name,followers_count,playlist_tracks_count,track_id,track_name,track_rank_in_playlist,track_added_on,track_spotify_popularity,track_duration_ms,album_name,album_id,album_type,album_release_date,tracks_in_album,main_artist,main_artist_id,artist_genre,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,59CfNbkERJ3NoTXDvoURjj,Boyfriend,15,2022-03-15,94,153000,Boyfriend,4jUfPmvZGiRRJwULbfk1dc,single,2022-02-11,1,Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,pop,0.345,0.612,0,0.194,-6.543,0.0608,179.773
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,16,2022-03-15,94,184447,MIDDLE OF THE NIGHT,4hYYpUC8Ewb74tP23Y1lmM,single,2020-01-10,1,Elley Duhé,67MNhiAICFY6Pwc2YxCO0K,alt z,0.41,0.611,0,0.116,-8.271,0.0467,185.727
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,6Uj1ctrBOjOas8xZXGqKk4,Woman,17,2022-03-15,96,172626,Planet Her,1nAQbHeOWTfQzbOoFrvndW,album,2021-06-25,14,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,dance pop,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,18,2022-03-15,96,143901,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,album,2021-09-17,15,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,lgbtq+ hip hop,0.737,0.846,0,0.0486,-4.51,0.22,87.981
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,1SOClUWhOi8vHZYMz3GluK,Infinity,19,2022-03-15,96,237720,Feel Something,6MuWCR3WPjwyKhqsTKLZ3z,album,2017-06-23,12,Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,modern rock,0.671,0.673,5.29e-05,0.304,-6.941,0.0444,121.963
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,20,2022-03-15,96,230746,=,32iAEBstCjauDhyKpGjTuq,album,2021-10-29,14,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,pop,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,21,2022-03-15,95,148197,Where Are You Now,5YrOK7zze6egKg9a8WRcnD,single,2021-07-30,1,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,belgian edm,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,4SqWKzw0CbA05TGszDgMlc,I Love You So,22,2022-03-15,95,160239,I Love You So,7ucm85tRsWk6EyVHaYAxe9,single,2014-11-28,1,The Walters,027TpXKGwdXP7iwbjUSpV8,chicago indie,0.575,0.648,0,0.115,-4.891,0.0358,75.977
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,2B4GHvToeLTOBB4QLzW3Ni,Pepas,23,2022-03-15,86,287120,La 167,0T6QxdJZwYrXPHd829SnqK,album,2021-10-01,25,Farruko,329e4yvIujISKGKz1BZZbO,latin,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,4ZtFanR9U6ndgddUvNcjcG,good 4 u,24,2022-03-15,95,178146,SOUR,6s84u2TUpR3wdUv4NgKA2j,album,2021-05-21,11,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,pop,0.563,0.664,0,0.0849,-5.044,0.154,166.928
2022-03-15,23:45:44,UTC,NzAwNjc0MDUwLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - Global,16611181,50,18asYwWugKjjsihZ0YvRxO,The Motto,25,2022-03-15,95,164818,The Motto,278z9UXJaMNDH9Bel9uAxV,single,2021-11-04,1,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,big room,0.754,0.763,2.23e-05,0.0901,-4.627,0.0435,117.953
