snapshot_date,snapshot_time,snapshot_time_zone,spotify_snapshot_id,playlist_name,followers_count,playlist_tracks_count,track_id,track_name,track_rank_in_playlist,track_added_on,track_spotify_popularity,track_duration_ms,album_name,album_id,album_type,album_release_date,tracks_in_album,main_artist,main_artist_id,artist_genre,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,31,2022-03-13,86,222973,Hot Fuss,4piJq7R3gjUOxnYs6lDCTg,album,2004,12,The Killers,0C0XlULifJtAgn6ZNCW2eu,alternative rock,0.352,0.911,0,0.0995,-5.23,0.0747,148.033
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,49KTdYsWNtkvOslTpgZuM1,War,32,2022-03-13,81,166871,War,6rWrQmCAsrocRq5HL2dqgU,single,2022-02-03,1,ArrDee,7m0BsF0t3K9WQFgKoPejfk,uk hip hop,0.754,0.794,0,0.114,-5.638,0.198,142.099
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,18asYwWugKjjsihZ0YvRxO,The Motto,33,2022-03-13,95,164818,The Motto,278z9UXJaMNDH9Bel9uAxV,single,2021-11-04,1,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,big room,0.754,0.763,2.23e-05,0.0901,-4.627,0.0435,117.953
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,6Uj1ctrBOjOas8xZXGqKk4,Woman,34,2022-03-13,96,172626,Planet Her,1nAQbHeOWTfQzbOoFrvndW,album,2021-06-25,14,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,dance pop,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,2BzAGK3lEZAQz5cU0Ae1wd,Flowers (Say My Name),35,2022-03-13,82,158601,Flowers (Say My Name),1ZMrAC2zQ3OmlOKFKAKzGA,single,2021-11-04,1,ArrDee,7m0BsF0t3K9WQFgKoPejfk,uk hip hop,0.723,0.713,0,0.513,-6.879,0.241,143.052
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,0P88fVbvRQGgRQN1GulQNy,Glad U Came (feat. ZieZie),36,2022-03-13,67,125142,Glad U Came (feat. ZieZie),52JvEc5EDwgA854xVckQL9,single,2022-03-04,1,Liilz,0PfJ0SW9UpzczeHL5hgdwL,,0.75,0.531,0,0.107,-8.988,0.0513,139.997
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3GZD6HmiNUhxXYf8Gch723,Lost,37,2022-03-13,89,234093,channel ORANGE,392p3shh2jkxUxY2VHvlH8,album,2012-07-10,17,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,alternative r&b,0.913,0.603,0.000503,0.167,-4.892,0.226,123.061
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,38,2022-03-13,96,143901,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,album,2021-09-17,15,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,lgbtq+ hip hop,0.737,0.846,0,0.0486,-4.51,0.22,87.981
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,39,2022-03-13,87,173381,Mercury - Act 1,4fZIyJn2wKb51QPNnWYnqt,album,2021-09-03,14,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,modern rock,0.728,0.783,0,0.434,-4.424,0.266,77.011
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,01IQ4aQgOf0Kkq3a273hmO,Funky Friday,40,2022-03-13,74,182741,Funky Friday,3CFVTstiXfXZDHF6EeMnGf,single,2018-10-04,1,Dave,6Ip8FS7vWT1uKkJSweANQK,uk hip hop,0.975,0.535,0,0.107,-7.227,0.196,125.066
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),41,2022-03-13,91,212352,MONTERO,6pOiDiuDQqrmo5DbG0ZubR,album,2021-09-17,15,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,lgbtq+ hip hop,0.741,0.691,0,0.0476,-7.395,0.0672,150.087
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,4oxGI8yyghLuMV7ybRG3kg,Obsessed With You,42,2022-03-13,72,108650,23,0SakL2ra5Cik5yQgKQBHGp,album,2022-02-25,15,Central Cee,5H4yInM5zmHqpKIoMNAx4r,drill brasileiro,0.746,0.825,0,0.365,-4.457,0.0435,143.062
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,43,2022-03-13,89,175344,Fingers Crossed,7i5dqey54xo8F2flVer0yY,single,2022-01-05,1,Lauren Spencer-Smith,79AyR6ATpj2LTPxfb6FX50,alt z,0.56,0.473,0,0.31,-7.23,0.0533,109.414
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3Kkjo3cT83cw09VJyrLNwX,Oh My God,44,2022-03-13,93,225148,30,21jF5jlMtzo94wbxmJ18aa,album,2021-11-19,12,Adele,4dpARuHxo51G3z768sgnrY,british soul,0.534,0.725,0,0.0264,-3.906,0.046,88.098
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,4MKOj49FQ3dlI9gqCOIjIn,Pump 101,45,2022-03-13,79,152685,Pump 101,0ZIab9a4PhidpDukWo0MX1,single,2022-01-20,1,Digga D,57n1OF36WvtOeATY6WQ6iw,aussie drill,0.518,0.704,0,0.346,-6.782,0.368,99.192
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,3DKCTIiJ97bS9TGiqcABjo,Thiago Silva,46,2022-03-13,77,201963,Thiago Silva,6JYMpRz7M9T2JlkjKHmsdc,single,2016-05-13,1,Dave,6Ip8FS7vWT1uKkJSweANQK,uk hip hop,0.667,0.673,4e-06,0.0975,-7.574,0.323,144.256
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,47,2022-03-13,75,201334,Sweetest Pie,4qw41n8iWrdR70Ui3hYBPv,single,2022-03-11,1,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,dance pop,0.814,0.628,0,0.101,-7.178,0.221,123.977
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,48,2022-03-13,92,206772,she's all i wanna be,51oWPUjnGhecw62V8LDXK8,single,2022-02-04,1,Tate McRae,45dkTj5sMRSjrmBSBeiHym,alt z,0.614,0.644,7.07e-06,0.117,-5.372,0.0426,160.036
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,20on25jryn53hWghthWWW3,Do It To It,49,2022-03-13,95,157890,Do It To It,58cd90Jkrovggh556JPN9L,single,2021-08-20,1,ACRAZE,4pnp4w9g30yLfVIAFnZMRd,,0.854,0.806,0.0542,0.0703,-8.262,0.0886,124.927
2022-03-14,02:10:02,GMT,NzAwNDgzMDQxLDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDY1NmU=,Top 50 - United Kingdom,2163883,50,0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),50,2022-03-13,88,206070,Bam Bam (feat. Ed Sheeran),6FIMt58naoGYrOe4Wn2P3n,single,2022-03-04,1,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,dance pop,0.756,0.697,0,0.333,-6.377,0.0401,94.996
